type	ts	dur	durz	F0	F0z	F1	F1z	F2	F2z	F3	F3z	dF0	dF0z	dF1	dF1z	dF2	dF2z	dF3	dF3z	dqF0	dqF0z	dqF1	dqF1z	dqF2	dqF2z	dqF3	dqF3z	sdF0	sdF0z	sdF1	sdF1z	sdF2	sdF2z	sdF3	sdF3z	score
?	0.968	0.104	-1.004	19.910	0.823	6.008	0.681	10.855	-0.530	16.660	0.497	-4.457	-0.823	0.879	-0.046	1.748	-0.049	0.385	-0.477	1.380	-0.318	0.615	-0.627	3.968	1.177	1.340	-0.335	0.390	-0.424	0.193	-0.663	1.591	1.775	0.423	-0.324	0.253
?	1.125	0.179	0.489	19.588	0.765	3.501	-1.336	14.205	1.081	16.124	-0.210	-4.135	-0.765	1.286	0.429	1.468	-0.275	0.652	0.121	2.383	-0.069	0.999	-0.299	3.069	0.548	2.195	0.344	0.793	-0.128	0.369	-0.161	0.951	0.434	0.759	0.488	0.586
?	1.408	0.192	0.748	18.008	0.478	3.762	-1.126	14.517	1.232	16.042	-0.317	-2.555	-0.478	1.269	0.409	1.587	-0.179	0.687	0.200	0.898	-0.438	0.413	-0.799	2.369	0.058	2.621	0.684	0.338	-0.463	0.139	-0.816	0.788	0.094	0.740	0.441	0.854
?	1.864	0.193	0.770	16.693	0.240	3.325	-1.477	13.522	0.753	16.637	0.467	-1.241	-0.240	1.642	0.845	0.664	-0.921	0.705	0.241	0.795	-0.464	0.339	-0.862	0.899	-0.972	4.003	1.784	0.225	-0.546	0.121	-0.868	0.259	-1.014	1.102	1.315	2.068
fp	2.096	0.104	-1.004	17.127	0.319	5.196	0.027	12.591	0.305	15.861	-0.556	-1.674	-0.319	0.176	-0.866	0.283	-1.227	0.528	-0.157	0.181	-0.617	0.253	-0.934	0.731	-1.090	1.017	-0.593	0.073	-0.659	0.078	-0.990	0.237	-1.061	0.298	-0.626	2.800
?	2.896	0.200	0.907	16.390	0.185	5.132	-0.024	8.892	-1.475	16.843	0.738	-0.938	-0.185	0.128	-0.921	3.988	1.752	0.458	-0.315	1.581	-0.268	0.283	-0.909	1.170	-0.782	1.006	-0.601	0.606	-0.265	0.088	-0.962	0.408	-0.703	0.332	-0.542	1.962
fp	3.224	0.184	0.588	-17.136	-5.890	9.069	3.143	13.954	0.961	17.802	2.003	32.589	5.890	4.196	3.823	1.198	-0.492	1.114	1.156	17.678	3.736	1.232	-0.101	1.240	-0.733	1.751	-0.009	5.738	3.521	0.389	-0.104	0.376	-0.769	0.616	0.142	4.137
?	7.984	0.088	-1.323	17.526	0.391	5.251	0.072	12.214	0.123	15.864	-0.552	-2.073	-0.391	0.278	-0.748	0.789	-0.821	0.675	0.173	1.640	-0.254	0.835	-0.439	2.514	0.159	0.639	-0.894	0.541	-0.313	0.260	-0.471	0.799	0.117	0.222	-0.808	1.467
?	8.216	0.152	-0.049	17.872	0.454	5.324	0.130	8.997	-1.425	16.561	0.367	-2.419	-0.454	0.313	-0.706	3.951	1.722	0.193	-0.908	2.748	0.022	0.783	-0.484	1.854	-0.303	0.737	-0.816	0.939	-0.020	0.244	-0.517	0.655	-0.185	0.215	-0.825	1.074
?	8.496	0.080	-1.473	20.482	0.927	5.229	0.054	12.085	0.061	17.276	1.310	-5.029	-0.927	0.917	-0.001	1.243	-0.455	1.148	1.234	1.099	-0.388	5.355	3.409	3.753	1.027	3.779	1.606	0.408	-0.411	1.475	2.988	1.353	1.276	1.172	1.484	-0.197
?	8.728	0.120	-0.686	18.030	0.482	5.385	0.180	12.248	0.140	16.062	-0.291	-2.577	-0.482	0.370	-0.639	0.567	-0.999	0.384	-0.479	1.052	-0.400	0.581	-0.655	1.247	-0.729	1.184	-0.460	0.466	-0.369	0.160	-0.757	0.414	-0.689	0.397	-0.387	2.254
?	25.168	0.136	-0.367	19.044	0.666	5.099	-0.051	13.658	0.818	16.549	0.351	-3.591	-0.666	0.296	-0.726	0.919	-0.716	0.168	-0.963	2.278	-0.095	1.187	-0.140	1.707	-0.406	0.636	-0.896	0.890	-0.056	0.386	-0.112	0.580	-0.343	0.199	-0.864	2.038
?	25.576	0.184	0.588	16.864	0.271	5.174	0.010	13.966	0.967	16.169	-0.150	-1.411	-0.271	0.387	-0.619	1.310	-0.402	0.285	-0.701	2.133	-0.131	1.467	0.099	2.761	0.332	0.420	-1.069	0.747	-0.161	0.459	0.096	0.885	0.297	0.120	-1.054	2.093
?	26.144	0.144	-0.208	16.041	0.122	6.631	1.182	11.051	-0.436	16.343	0.079	-0.588	-0.122	1.660	0.865	1.353	-0.367	0.932	0.748	14.996	3.069	3.428	1.768	2.929	0.450	3.836	1.651	4.313	2.470	1.091	1.893	1.085	0.715	1.319	1.838	0.773
