type	ts	dur	durz	F0	F0z	F1	F1z	F2	F2z	F3	F3z	dF0	dF0z	dF1	dF1z	dF2	dF2z	dF3	dF3z	dqF0	dqF0z	dqF1	dqF1z	dqF2	dqF2z	dqF3	dqF3z	sdF0	sdF0z	sdF1	sdF1z	sdF2	sdF2z	sdF3	sdF3z	score
?	26.424	0.112	-0.845	15.444	0.014	4.751	-0.330	8.014	-1.898	16.160	-0.162	0.009	-0.014	0.285	-0.739	4.734	2.352	0.518	-0.179	1.246	-0.352	1.130	-0.188	3.246	0.672	2.017	0.203	0.446	-0.384	0.306	-0.339	0.866	0.256	0.577	0.048	-0.035
?	26.872	0.192	0.739	14.638	-0.132	4.879	-0.227	9.867	-1.006	15.332	-1.253	0.815	0.132	0.254	-0.775	2.826	0.818	1.285	1.541	1.100	-0.388	0.868	-0.411	5.172	2.021	2.652	0.709	0.420	-0.403	0.352	-0.209	1.525	1.637	0.921	0.878	0.747
?	27.128	0.192	0.748	14.406	-0.174	4.644	-0.416	14.384	1.168	16.625	0.451	1.046	0.174	0.555	-0.423	1.642	-0.134	0.340	-0.579	0.690	-0.490	1.621	0.230	2.466	0.126	1.716	-0.036	0.180	-0.579	0.621	0.557	0.860	0.243	0.436	-0.293	1.713
?	27.464	0.096	-1.164	15.683	0.057	4.960	-0.162	13.292	0.642	16.678	0.521	-0.230	-0.057	0.339	-0.676	0.566	-0.999	0.343	-0.572	2.078	-0.145	1.444	0.079	1.713	-0.402	1.258	-0.401	1.746	0.576	0.440	0.041	0.483	-0.546	0.378	-0.431	2.025
?	35.104	0.168	0.270	17.296	0.349	6.694	1.232	12.889	0.448	15.036	-1.643	-1.843	-0.349	1.651	0.855	0.911	-0.723	1.437	1.880	1.653	-0.250	0.879	-0.402	4.562	1.594	3.423	1.322	0.687	-0.206	0.262	-0.466	1.317	1.201	1.229	1.621	0.721
?	35.360	0.128	-0.527	16.792	0.258	5.144	-0.014	13.688	0.833	15.824	-0.604	-1.339	-0.258	0.334	-0.682	0.835	-0.783	0.602	0.008	2.215	-0.111	0.917	-0.369	0.616	-1.171	0.918	-0.672	0.916	-0.037	0.315	-0.315	0.192	-1.154	0.254	-0.732	2.368
?	35.616	0.200	0.907	14.300	-0.194	5.458	0.238	13.811	0.892	16.386	0.137	1.153	0.194	0.619	-0.350	1.377	-0.347	0.188	-0.919	2.863	0.051	1.431	0.068	2.754	0.328	0.799	-0.766	1.171	0.151	0.511	0.242	0.967	0.468	0.244	-0.756	2.138
?	40.520	0.136	-0.367	16.328	0.174	8.432	2.630	11.569	-0.187	16.299	0.021	-0.875	-0.174	3.387	2.880	1.103	-0.568	0.631	0.075	3.257	0.148	0.784	-0.482	1.775	-0.359	2.273	0.407	1.111	0.107	0.253	-0.492	0.537	-0.433	0.788	0.557	1.266
?	40.840	0.120	-0.686	15.090	-0.050	6.705	1.241	9.857	-1.011	16.571	0.381	0.362	0.050	1.579	0.770	2.850	0.837	0.262	-0.752	1.483	-0.293	2.427	0.916	1.735	-0.386	0.994	-0.611	0.526	-0.324	0.738	0.889	0.518	-0.473	0.299	-0.621	0.961
?	41.168	0.120	-0.686	14.475	-0.162	4.505	-0.528	9.652	-1.110	16.697	0.546	0.978	0.162	0.565	-0.412	2.988	0.947	0.233	-0.817	1.602	-0.263	0.638	-0.607	2.960	0.472	0.640	-0.893	0.589	-0.277	0.200	-0.642	0.955	0.442	0.206	-0.847	0.851
?	41.480	0.080	-1.482	14.790	-0.105	4.854	-0.248	8.529	-1.650	17.069	1.036	0.663	0.105	0.414	-0.589	4.210	1.930	0.609	0.024	16.769	3.510	1.912	0.478	0.718	-1.099	1.594	-0.134	6.440	4.039	0.562	0.389	0.260	-1.012	0.476	-0.195	0.471
?	41.864	0.136	-0.367	17.108	0.315	5.131	-0.024	8.883	-1.480	17.023	0.976	-1.655	-0.315	0.244	-0.786	3.964	1.732	0.517	-0.182	2.573	-0.022	0.568	-0.666	0.857	-1.002	0.599	-0.926	1.006	0.030	0.201	-0.638	0.228	-1.078	0.197	-0.868	1.544
?	42.184	0.141	-0.273	14.290	-0.195	3.609	-1.249	11.775	-0.088	14.226	-2.712	1.163	0.195	1.327	0.476	1.852	0.035	1.689	2.447	1.050	-0.400	0.981	-0.315	6.173	2.722	3.631	1.488	0.341	-0.461	0.292	-0.379	2.067	2.770	1.383	1.994	-0.796
fp	42.336	0.248	1.863	13.986	-0.250	7.449	1.840	12.023	0.032	16.401	0.156	1.467	0.250	2.167	1.457	1.028	-0.629	0.198	-0.897	1.155	-0.374	4.303	2.513	2.572	0.200	0.854	-0.723	0.488	-0.352	1.307	2.508	0.854	0.232	0.270	-0.693	2.835
?	44.744	0.216	1.225	14.096	-0.230	3.847	-1.058	13.888	0.929	16.545	0.346	1.356	0.230	1.226	0.358	1.004	-0.648	0.496	-0.228	3.281	0.154	1.019	-0.283	0.838	-1.015	3.815	1.634	1.116	0.111	0.328	-0.277	0.255	-1.024	0.902	0.832	2.384
?	45.208	0.128	-0.527	18.046	0.485	5.678	0.415	10.060	-0.913	16.448	0.218	-2.593	-0.485	0.849	-0.080	2.295	0.390	0.203	-0.884	3.012	0.087	3.085	1.476	4.841	1.790	0.911	-0.677	1.179	0.158	0.833	1.161	1.596	1.785	0.266	-0.702	0.519
?	45.552	0.096	-1.164	15.991	0.113	4.841	-0.258	8.401	-1.712	16.152	-0.172	-0.538	-0.113	0.197	-0.841	4.392	2.076	0.389	-0.467	0.787	-0.466	0.822	-0.450	0.582	-1.195	1.188	-0.457	0.366	-0.442	0.235	-0.542	0.178	-1.184	0.346	-0.509	0.742
?	45.936	0.304	2.978	14.569	-0.145	3.975	-0.955	10.489	-0.706	14.502	-2.348	0.884	0.145	1.035	0.136	1.962	0.123	1.493	2.008	0.927	-0.431	2.746	1.188	2.475	0.132	3.549	1.423	0.291	-0.498	0.950	1.493	0.794	0.106	1.373	1.970	1.724
fp	46.856	0.104	-1.004	14.943	-0.077	6.349	0.955	13.355	0.672	16.696	0.545	0.510	0.077	1.104	0.216	0.528	-1.030	0.219	-0.849	0.449	-0.550	2.388	0.883	0.337	-1.366	0.365	-1.112	0.191	-0.572	0.866	1.253	0.117	-1.311	0.118	-1.060	2.795
?	47.428	0.147	-0.141	14.561	-0.146	4.147	-0.816	13.294	0.643	16.365	0.108	0.892	0.146	1.062	0.168	0.677	-0.910	0.891	0.657	0.608	-0.510	0.784	-0.483	2.093	-0.136	4.550	2.219	0.248	-0.530	0.265	-0.457	0.582	-0.339	1.235	1.636	1.546
fp	47.600	0.128	-0.527	14.798	-0.103	4.765	-0.319	12.947	0.476	16.556	0.361	0.655	0.103	0.247	-0.783	0.136	-1.345	0.172	-0.954	1.357	-0.324	0.125	-1.044	0.251	-1.426	0.757	-0.800	0.553	-0.305	0.042	-1.093	0.072	-1.405	0.207	-0.845	3.912
fp	48.160	0.232	1.544	15.066	-0.055	4.761	-0.322	13.754	0.864	16.399	0.153	0.387	0.055	0.277	-0.749	1.121	-0.553	0.156	-0.990	0.504	-0.536	0.284	-0.908	1.872	-0.291	0.576	-0.944	0.186	-0.575	0.088	-0.961	0.635	-0.226	0.177	-0.918	3.019
?	48.752	0.240	1.703	14.678	-0.125	4.916	-0.197	10.011	-0.937	13.933	-3.098	0.775	0.125	0.931	0.014	2.558	0.602	1.916	2.954	1.415	-0.310	3.432	1.771	4.451	1.516	4.067	1.835	0.534	-0.318	1.086	1.880	1.461	1.503	1.428	2.102	0.485
?	49.496	0.136	-0.367	14.573	-0.144	4.931	-0.185	13.427	0.707	16.605	0.425	0.880	0.144	0.102	-0.952	0.691	-0.899	0.292	-0.686	1.079	-0.393	0.300	-0.894	2.541	0.178	1.061	-0.558	0.429	-0.396	0.103	-0.918	0.784	0.085	0.316	-0.582	2.429
?	51.256	0.136	-0.367	19.430	0.736	3.408	-1.410	9.614	-1.128	16.693	0.541	-3.978	-0.736	1.587	0.780	2.600	0.636	0.336	-0.587	1.262	-0.348	0.215	-0.967	3.544	0.880	1.153	-0.485	0.515	-0.333	0.067	-1.021	1.224	1.006	0.381	-0.426	0.084
?	51.504	0.152	-0.049	15.024	-0.062	3.853	-1.053	15.640	1.772	16.813	0.699	0.429	0.062	1.157	0.279	2.720	0.732	0.408	-0.427	2.303	-0.089	1.143	-0.177	1.073	-0.851	1.011	-0.598	0.873	-0.068	0.345	-0.229	0.327	-0.873	0.286	-0.655	0.849
?	51.752	0.184	0.588	13.232	-0.387	4.856	-0.246	14.390	1.170	16.763	0.633	2.221	0.387	0.360	-0.651	1.541	-0.216	0.375	-0.500	1.500	-0.289	1.369	0.016	1.336	-0.666	0.699	-0.846	0.573	-0.290	0.429	0.009	0.447	-0.621	0.232	-0.785	2.465
