type	ts	dur	durz	F0	F0z	F1	F1z	F2	F2z	F3	F3z	dF0	dF0z	dF1	dF1z	dF2	dF2z	dF3	dF3z	dqF0	dqF0z	dqF1	dqF1z	dqF2	dqF2z	dqF3	dqF3z	sdF0	sdF0z	sdF1	sdF1z	sdF2	sdF2z	sdF3	sdF3z	score
?	6.536	0.064	-0.943	18.983	0.691	6.002	0.034	9.345	-1.635	16.675	0.326	-2.053	-0.691	0.532	-0.900	3.378	1.454	0.242	-0.849	16.007	2.829	0.767	-0.804	1.183	-0.753	0.506	-1.016	6.319	2.882	0.269	-0.772	0.385	-0.738	0.145	-0.985	0.332
?	6.656	0.096	-0.578	17.870	0.282	5.555	-0.271	9.138	-1.739	16.903	0.656	-0.941	-0.282	0.405	-1.029	3.790	1.797	0.478	-0.316	15.294	2.666	0.795	-0.793	0.307	-1.248	0.176	-1.364	5.979	2.683	0.269	-0.772	0.096	-1.177	0.052	-1.245	1.458
?	6.912	0.216	0.790	16.871	-0.086	4.445	-1.027	14.487	0.962	16.377	-0.105	0.058	0.086	1.550	0.146	1.302	-0.275	0.265	-0.799	0.572	-0.696	2.122	-0.276	3.397	0.498	1.061	-0.430	0.241	-0.675	0.710	-0.311	0.949	0.119	0.335	-0.450	1.712
?	7.139	0.149	0.025	16.590	-0.190	4.054	-1.293	11.329	-0.633	16.200	-0.360	0.339	0.190	2.505	1.127	2.036	0.336	0.362	-0.578	0.885	-0.625	4.297	0.571	5.249	1.545	1.351	-0.124	0.283	-0.651	1.958	0.995	1.878	1.532	0.408	-0.245	0.030
fp	7.424	0.176	0.334	12.873	-1.558	8.355	1.637	13.194	0.309	16.113	-0.486	4.056	1.558	2.044	0.653	0.377	-1.046	0.290	-0.742	1.672	-0.445	2.526	-0.119	1.067	-0.819	0.477	-1.046	0.488	-0.531	0.853	-0.161	0.366	-0.766	0.129	-1.028	3.815
?	8.048	0.104	-0.487	21.467	1.606	6.671	0.490	11.090	-0.753	17.304	1.235	-4.538	-1.606	1.871	0.476	2.174	0.451	1.057	0.993	3.691	0.016	8.460	2.193	7.667	2.911	3.556	2.203	1.197	-0.116	2.442	1.501	2.329	2.216	1.330	2.347	-1.276
?	8.224	0.056	-1.034	20.887	1.393	5.750	-0.138	13.716	0.573	17.321	1.260	-3.958	-1.393	3.708	2.363	1.774	0.118	0.915	0.672	4.629	0.231	10.050	2.812	4.194	0.948	1.212	-0.271	2.126	0.428	4.490	3.644	1.983	1.691	0.511	0.046	-1.889
fp	8.336	0.184	0.425	13.701	-1.254	9.014	2.086	12.589	0.003	16.201	-0.360	3.228	1.254	2.517	1.140	0.581	-0.876	0.193	-0.961	0.787	-0.647	2.535	-0.116	0.888	-0.920	0.424	-1.103	0.275	-0.655	0.830	-0.185	0.306	-0.858	0.126	-1.036	3.666
fp	8.608	0.200	0.607	13.912	-1.176	6.894	0.642	14.033	0.733	16.599	0.216	3.017	1.176	1.058	-0.359	0.845	-0.656	0.290	-0.742	0.649	-0.679	2.557	-0.107	1.504	-0.572	1.462	-0.007	0.262	-0.663	0.753	-0.266	0.509	-0.549	0.361	-0.376	3.165
?	9.224	0.472	3.708	16.958	-0.054	8.627	1.823	12.451	-0.066	15.345	-1.598	-0.029	0.054	2.576	1.200	1.546	-0.072	1.471	1.928	4.336	0.163	5.848	1.175	5.836	1.876	4.203	2.887	1.413	0.011	2.508	1.570	1.972	1.674	1.541	2.939	2.398
fp	9.784	0.072	-0.852	12.772	-1.596	5.870	-0.056	12.900	0.160	16.767	0.458	4.157	1.596	0.292	-1.146	0.143	-1.241	0.377	-0.544	9.492	1.341	1.447	-0.539	0.419	-1.185	0.233	-1.304	3.530	1.250	0.422	-0.612	0.111	-1.154	0.071	-1.193	3.908
