type	ts	dur	durz	F0	F0z	F1	F1z	F2	F2z	F3	F3z	dF0	dF0z	dF1	dF1z	dF2	dF2z	dF3	dF3z	dqF0	dqF0z	dqF1	dqF1z	dqF2	dqF2z	dqF3	dqF3z	sdF0	sdF0z	sdF1	sdF1z	sdF2	sdF2z	sdF3	sdF3z	score
?	0.512	0.112	-0.396	19.458	0.866	5.707	-0.167	8.363	-2.131	16.514	0.093	-2.529	-0.866	0.295	-1.143	4.721	2.572	0.137	-1.088	1.600	-0.461	0.506	-0.906	2.507	-0.005	0.483	-1.040	0.651	-0.435	0.176	-0.869	0.702	-0.256	0.139	-1.001	0.319
?	0.984	0.096	-0.578	20.919	1.404	5.182	-0.524	8.598	-2.012	16.399	-0.073	-3.990	-1.404	0.812	-0.612	4.590	2.463	0.187	-0.974	2.982	-0.146	0.767	-0.804	1.956	-0.317	0.669	-0.844	1.067	-0.192	0.228	-0.816	0.601	-0.409	0.224	-0.763	-0.423
?	1.184	0.120	-0.305	22.159	1.861	7.143	0.812	12.303	-0.141	15.134	-1.902	-5.229	-1.861	1.222	-0.191	0.962	-0.559	1.109	1.109	2.322	-0.296	1.986	-0.329	2.576	0.034	2.177	0.748	0.933	-0.270	0.621	-0.404	0.925	0.083	0.654	0.445	0.409
?	1.384	0.152	0.060	18.374	0.467	5.885	-0.046	14.676	1.058	16.487	0.054	-1.445	-0.467	0.217	-1.223	1.570	-0.052	0.163	-1.028	1.484	-0.488	0.811	-0.787	1.520	-0.563	0.624	-0.891	0.459	-0.548	0.253	-0.789	0.441	-0.653	0.190	-0.857	1.975
fp	1.696	0.136	-0.124	15.892	-0.447	5.552	-0.272	13.677	0.553	16.733	0.409	1.038	0.447	1.223	-0.190	0.735	-0.748	0.304	-0.711	3.231	-0.089	4.200	0.533	0.592	-1.087	0.286	-1.249	0.991	-0.237	1.391	0.401	0.202	-1.016	0.085	-1.151	2.864
?	1.832	0.192	0.516	16.261	-0.311	6.716	0.521	13.391	0.408	14.802	-2.381	0.668	0.311	0.955	-0.465	0.731	-0.751	1.266	1.464	2.219	-0.320	1.613	-0.475	2.271	-0.139	2.426	1.011	0.762	-0.370	1.001	-0.007	0.826	-0.067	0.825	0.928	2.012
?	2.336	0.136	-0.122	20.459	1.235	6.067	0.079	13.894	0.663	16.622	0.249	-3.530	-1.235	0.618	-0.811	1.700	0.056	0.472	-0.330	5.035	0.323	2.043	-0.307	4.778	1.278	1.678	0.221	1.877	0.282	0.685	-0.337	1.843	1.479	0.567	0.203	0.071
?	2.664	0.136	-0.122	16.636	-0.173	5.010	-0.642	10.719	-0.941	16.423	-0.038	0.294	0.173	0.969	-0.451	2.117	0.404	0.394	-0.507	1.739	-0.430	0.435	-0.934	4.152	0.924	1.284	-0.194	0.665	-0.427	0.153	-0.894	1.574	1.069	0.433	-0.175	0.619
?	2.920	0.048	-1.125	12.602	-1.659	2.310	-2.481	13.500	0.464	16.769	0.462	4.328	1.659	3.752	2.408	0.467	-0.971	0.316	-0.683	0.323	-0.753	1.256	-0.614	1.468	-0.592	0.778	-0.729	0.118	-0.747	0.380	-0.656	0.436	-0.661	0.282	-0.599	0.835
?	3.184	0.168	0.243	19.334	0.821	6.076	0.085	10.231	-1.187	14.383	-2.987	-2.404	-0.821	0.643	-0.786	2.393	0.633	2.149	3.459	2.241	-0.315	2.048	-0.305	2.616	0.056	1.490	0.023	0.594	-0.468	0.720	-0.301	0.887	0.026	0.547	0.146	0.682
fp	3.440	0.088	-0.669	19.230	0.782	6.018	0.045	12.792	0.106	17.183	1.060	-2.301	-0.782	0.215	-1.225	0.294	-1.116	0.737	0.269	16.933	3.041	0.903	-0.751	0.866	-0.933	0.614	-0.902	6.739	3.128	0.276	-0.766	0.257	-0.932	0.167	-0.922	2.820
?	3.680	0.096	-0.578	17.043	-0.023	4.868	-0.738	15.300	1.373	16.691	0.349	-0.114	0.023	0.978	-0.441	1.894	0.218	0.495	-0.278	2.410	-0.276	0.581	-0.877	1.658	-0.485	2.220	0.793	0.844	-0.322	0.189	-0.856	0.518	-0.536	0.689	0.546	0.270
?	3.968	0.160	0.151	17.511	0.149	4.709	-0.847	14.656	1.048	16.521	0.103	-0.582	-0.149	1.552	0.149	1.843	0.175	0.380	-0.537	0.950	-0.610	2.125	-0.275	1.583	-0.527	2.451	1.037	0.425	-0.567	0.895	-0.117	0.551	-0.486	0.651	0.437	0.841
fp	4.144	0.368	2.523	13.410	-1.361	7.487	1.046	13.226	0.325	16.359	-0.131	3.520	1.361	2.159	0.772	1.230	-0.335	0.597	-0.049	4.050	0.098	5.477	1.031	3.271	0.427	1.967	0.526	1.739	0.202	2.206	1.255	1.341	0.716	0.694	0.558	3.244
fp	4.544	0.136	-0.123	12.707	-1.620	6.373	0.287	13.078	0.250	16.883	0.627	4.222	1.620	0.756	-0.669	0.105	-1.272	0.544	-0.167	0.453	-0.723	2.677	-0.060	0.605	-1.080	1.487	0.020	0.246	-0.673	0.847	-0.168	0.172	-1.061	0.524	0.081	4.114
?	4.952	0.080	-0.761	16.740	-0.135	3.582	-1.615	15.323	1.384	16.841	0.566	0.189	0.135	2.202	0.816	1.925	0.244	0.752	0.302	1.203	-0.552	1.138	-0.660	4.256	0.983	1.796	0.345	0.669	-0.425	0.394	-0.642	1.595	1.101	0.795	0.842	-1.211
?	5.112	0.296	1.702	17.210	0.038	5.371	-0.395	10.421	-1.092	16.419	-0.044	-0.280	-0.038	0.925	-0.496	2.283	0.542	0.357	-0.590	2.711	-0.208	3.034	0.079	4.955	1.378	1.913	0.469	0.880	-0.301	0.938	-0.072	2.144	1.935	0.484	-0.031	1.728
?	5.448	0.085	-0.703	17.135	0.011	5.180	-0.526	15.128	1.286	16.829	0.548	-0.206	-0.011	0.853	-0.570	1.816	0.152	0.664	0.105	2.564	-0.241	1.017	-0.707	2.960	0.251	1.758	0.306	0.813	-0.341	0.284	-0.757	0.888	0.027	0.673	0.500	-0.017
?	5.533	0.131	-0.179	16.968	-0.051	5.222	-0.497	13.899	0.665	17.044	0.860	-0.038	0.051	1.418	0.011	0.818	-0.679	0.991	0.844	0.340	-0.749	3.433	0.234	1.455	-0.600	2.855	1.464	0.442	-0.558	1.404	0.416	0.464	-0.618	1.199	1.979	1.397
?	5.784	0.136	-0.122	18.592	0.547	5.752	-0.136	9.678	-1.467	17.301	1.230	-1.663	-0.547	0.448	-0.986	3.329	1.413	0.847	0.517	4.073	0.104	1.540	-0.503	1.029	-0.840	1.287	-0.191	1.428	0.019	0.525	-0.504	0.370	-0.761	0.421	-0.209	1.257
?	5.936	0.096	-0.578	19.556	0.902	8.852	1.976	13.299	0.362	17.140	0.998	-2.627	-0.902	3.069	1.707	0.715	-0.765	0.881	0.593	0.059	-0.813	3.879	0.408	2.507	-0.005	2.222	0.795	0.942	-0.265	1.234	0.237	0.710	-0.243	0.730	0.660	0.807
?	6.112	0.064	-0.943	13.248	-1.421	4.711	-0.846	13.725	0.577	16.491	0.059	3.682	1.421	2.262	0.878	0.707	-0.771	0.271	-0.785	0.807	-0.642	10.473	2.977	3.256	0.418	1.733	0.279	0.351	-0.611	2.921	2.002	0.941	0.107	0.516	0.058	0.666
?	6.264	0.168	0.243	17.257	0.056	7.352	0.954	13.637	0.533	15.516	-1.350	-0.328	-0.056	1.258	-0.153	0.620	-0.844	1.062	1.002	5.340	0.393	2.924	0.036	0.995	-0.859	1.069	-0.422	1.676	0.164	1.020	0.014	0.323	-0.832	0.335	-0.450	2.633
