type	ts	dur	durz	F0	F0z	F1	F1z	F2	F2z	F3	F3z	dF0	dF0z	dF1	dF1z	dF2	dF2z	dF3	dF3z	dqF0	dqF0z	dqF1	dqF1z	dqF2	dqF2z	dqF3	dqF3z	sdF0	sdF0z	sdF1	sdF1z	sdF2	sdF2z	sdF3	sdF3z	score
?	0.352	0.104	-0.553	18.972	-0.114	4.013	-0.828	14.064	1.134	15.930	0.334	1.421	0.114	1.126	-0.439	2.212	0.320	0.453	-0.389	0.579	-0.740	2.337	-0.246	4.680	0.993	1.131	-0.429	0.320	-0.570	0.882	-0.103	1.616	1.154	0.362	-0.443	-0.456
?	0.592	0.184	1.204	24.361	0.778	4.133	-0.778	9.581	-0.910	15.585	-0.076	-3.968	-0.778	0.987	-0.532	2.036	0.134	0.509	-0.288	5.013	1.133	0.917	-1.042	3.666	0.461	1.785	0.184	1.812	0.659	0.283	-1.220	1.093	0.294	0.565	0.198	0.876
?	1.360	0.096	-0.728	20.897	0.205	4.345	-0.690	14.706	1.426	15.992	0.408	-0.504	-0.205	0.778	-0.672	3.076	1.234	0.402	-0.481	0.628	-0.719	1.058	-0.964	1.227	-0.820	0.827	-0.713	0.989	-0.019	0.352	-1.091	0.485	-0.706	0.243	-0.821	-0.111
?	1.632	0.176	1.028	21.143	0.246	5.013	-0.411	8.509	-1.399	15.435	-0.254	-0.749	-0.246	1.025	-0.507	2.890	1.037	0.734	0.115	1.976	-0.150	3.685	0.510	8.348	2.918	3.608	1.891	1.932	0.758	1.209	0.504	2.868	3.212	0.946	1.402	-0.393
?	1.816	0.096	-0.728	27.462	1.291	12.344	2.646	16.722	2.346	17.786	2.543	-7.069	-1.291	6.814	3.361	5.182	3.462	2.194	2.735	12.111	4.129	1.241	-0.861	0.888	-0.998	0.901	-0.644	6.705	4.689	0.436	-0.935	0.286	-1.033	0.321	-0.573	-1.413
?	1.920	0.072	-1.255	20.560	0.149	3.899	-0.876	11.738	0.073	15.786	0.163	-0.167	-0.149	1.986	0.135	0.843	-1.128	0.417	-0.453	2.581	0.106	8.111	2.992	5.520	1.434	2.042	0.424	0.935	-0.063	2.424	2.770	1.603	1.131	0.625	0.388	-0.318
?	2.096	0.192	1.379	17.119	-0.420	4.139	-0.776	12.149	0.261	14.993	-0.781	3.274	0.420	1.093	-0.461	0.924	-1.042	0.759	0.161	1.332	-0.422	2.014	-0.428	2.760	-0.015	1.816	0.213	0.503	-0.419	0.785	-0.285	0.812	-0.169	0.640	0.434	1.844
?	2.344	0.104	-0.553	15.797	-0.639	6.287	0.120	8.436	-1.432	12.890	-3.282	4.597	0.639	1.024	-0.507	2.936	1.086	2.696	3.635	0.135	-0.927	2.916	0.078	3.739	0.499	3.602	1.886	0.049	-0.793	0.854	-0.156	1.221	0.504	1.241	2.337	-0.663
?	2.888	0.128	-0.026	19.150	-0.084	7.835	0.765	10.439	-0.519	15.799	0.179	1.243	0.084	2.012	0.153	1.071	-0.886	0.237	-0.777	3.476	0.483	3.213	0.245	1.352	-0.754	0.837	-0.704	1.193	0.149	1.084	0.273	0.477	-0.719	0.248	-0.805	2.000
?	3.208	0.080	-1.080	20.345	0.114	6.261	0.109	9.761	-0.828	15.512	-0.163	0.049	-0.114	0.965	-0.546	1.580	-0.349	0.288	-0.685	1.166	-0.492	2.117	-0.370	0.540	-1.180	0.892	-0.653	0.514	-0.410	0.690	-0.461	0.221	-1.140	0.256	-0.779	1.370
?	3.320	0.120	-0.201	-5.678	-4.191	7.945	0.812	9.812	-0.805	16.006	0.424	26.071	4.191	2.476	0.463	1.676	-0.247	0.644	-0.047	3.487	0.488	4.584	1.014	4.693	1.000	3.496	1.786	1.383	0.306	1.567	1.173	1.447	0.876	0.894	1.239	1.820
?	3.488	0.104	-0.553	19.354	-0.050	7.380	0.576	9.638	-0.884	15.401	-0.295	1.039	0.050	1.966	0.122	1.703	-0.219	0.286	-0.688	1.694	-0.269	2.284	-0.276	0.780	-1.054	0.491	-1.028	0.616	-0.326	0.757	-0.338	0.242	-1.106	0.163	-1.073	1.580
?	3.664	0.040	-1.958	34.119	2.392	12.940	2.894	14.572	1.365	17.252	1.908	-13.726	-2.392	6.847	3.383	3.171	1.334	1.324	1.174	5.858	1.489	3.435	0.369	0.962	-0.959	1.134	-0.426	2.229	1.003	1.480	1.011	0.323	-0.972	0.468	-0.110	-1.933
?	3.744	0.112	-0.377	21.932	0.376	4.108	-0.789	14.152	1.174	16.038	0.463	-1.539	-0.376	1.237	-0.365	2.731	0.870	0.473	-0.353	0.532	-0.759	0.691	-1.169	2.589	-0.104	0.992	-0.559	0.185	-0.681	0.272	-1.240	0.891	-0.039	0.276	-0.716	-0.285
?	4.336	0.136	0.150	17.829	-0.303	4.407	-0.664	13.169	0.726	15.624	-0.030	2.564	0.303	1.150	-0.423	1.814	-0.100	0.256	-0.743	3.833	0.634	2.907	0.073	1.330	-0.765	1.034	-0.520	1.356	0.283	1.204	0.496	0.570	-0.567	0.351	-0.478	1.020
?	4.768	0.120	-0.201	22.042	0.394	8.315	0.966	9.257	-1.058	15.904	0.303	-1.649	-0.394	2.304	0.348	1.844	-0.069	0.397	-0.488	2.994	0.280	4.099	0.742	0.946	-0.967	0.724	-0.809	1.041	0.024	1.400	0.860	0.380	-0.878	0.240	-0.829	1.449
?	5.016	0.128	-0.026	21.278	0.268	6.219	0.092	13.029	0.662	15.246	-0.479	-0.885	-0.268	0.965	-0.547	1.519	-0.413	0.473	-0.353	0.885	-0.610	2.610	-0.093	1.562	-0.644	1.330	-0.242	0.366	-0.532	0.909	-0.055	0.507	-0.671	0.433	-0.219	1.097
?	5.400	0.200	1.555	15.157	-0.745	4.703	-0.540	9.667	-0.871	15.765	0.138	5.236	0.745	0.561	-0.817	1.539	-0.392	0.657	-0.022	0.716	-0.681	1.293	-0.832	3.686	0.471	3.269	1.574	0.263	-0.617	0.415	-0.974	1.202	0.473	0.961	1.450	1.848
?	6.248	0.136	0.150	19.061	-0.099	6.704	0.294	11.038	-0.246	14.309	-1.594	1.332	0.099	1.496	-0.192	0.783	-1.192	1.115	0.798	1.328	-0.423	3.577	0.449	2.069	-0.377	1.990	0.375	0.419	-0.488	1.264	0.608	0.816	-0.162	0.698	0.620	1.348
?	6.488	0.232	2.258	22.217	0.423	4.550	-0.604	14.263	1.224	16.301	0.776	-1.824	-0.423	1.013	-0.515	2.601	0.732	0.681	0.021	1.918	-0.174	2.955	0.100	3.183	0.207	2.054	0.436	0.612	-0.330	1.127	0.352	1.057	0.234	0.665	0.514	0.787
?	6.800	0.104	-0.553	20.460	0.133	5.345	-0.273	10.200	-0.628	15.479	-0.202	-0.067	-0.133	0.690	-0.730	1.233	-0.716	0.166	-0.904	0.627	-0.719	2.585	-0.107	1.088	-0.893	0.281	-1.225	0.386	-0.515	0.850	-0.163	0.339	-0.946	0.081	-1.332	1.969
?	7.592	0.128	-0.026	19.029	-0.104	6.017	0.007	11.358	-0.100	14.687	-1.145	1.364	0.104	0.988	-0.531	1.068	-0.890	0.768	0.176	0.353	-0.835	2.318	-0.257	2.737	-0.027	1.085	-0.471	0.131	-0.725	0.862	-0.141	1.127	0.350	0.423	-0.250	1.120
?	7.776	0.224	2.082	21.398	0.288	4.523	-0.615	14.187	1.190	15.818	0.201	-1.004	-0.288	0.925	-0.573	2.482	0.605	0.568	-0.182	2.695	0.154	3.078	0.169	4.131	0.705	1.889	0.281	0.902	-0.091	0.986	0.090	1.339	0.697	0.617	0.361	0.616
?	8.021	0.115	-0.308	17.761	-0.314	4.352	-0.687	10.547	-0.470	16.313	0.790	2.632	0.314	1.644	-0.093	1.441	-0.496	0.946	0.495	3.017	0.290	7.676	2.748	5.803	1.583	3.304	1.607	1.079	0.055	1.979	1.939	1.886	1.597	1.007	1.598	0.023
?	8.304	0.080	-1.080	22.672	0.498	3.853	-0.895	9.303	-1.037	16.100	0.537	-2.279	-0.498	1.306	-0.319	1.977	0.072	0.463	-0.371	1.709	-0.262	0.327	-1.374	1.243	-0.811	1.198	-0.366	0.649	-0.299	0.102	-1.558	0.401	-0.845	0.435	-0.213	0.406
?	8.584	0.120	-0.201	22.607	0.488	7.116	0.466	9.813	-0.804	16.037	0.461	-2.213	-0.488	1.775	-0.005	1.587	-0.341	0.384	-0.512	0.773	-0.658	2.322	-0.255	0.434	-1.236	0.285	-1.221	0.315	-0.574	0.684	-0.473	0.123	-1.301	0.111	-1.237	2.064
?	9.072	0.088	-0.904	19.183	-0.079	3.361	-1.100	9.802	-0.809	15.619	-0.036	1.210	0.079	1.838	0.036	1.296	-0.648	0.090	-1.040	0.500	-0.773	0.415	-1.324	2.840	0.027	0.207	-1.293	0.226	-0.647	0.156	-1.457	0.935	0.034	0.070	-1.367	0.751
?	9.312	0.184	1.204	15.200	-0.738	7.626	0.678	13.308	0.789	15.413	-0.281	5.194	0.738	1.980	0.131	2.031	0.129	0.495	-0.313	2.048	-0.119	4.077	0.729	5.385	1.363	2.249	0.618	1.144	0.108	1.446	0.947	1.384	0.771	0.688	0.586	0.807
?	9.680	0.136	0.150	21.227	0.259	8.719	1.134	11.533	-0.020	15.266	-0.456	-0.834	-0.259	3.240	0.973	0.477	-1.515	0.407	-0.471	1.440	-0.376	1.401	-0.771	2.268	-0.273	0.297	-1.209	0.608	-0.332	0.444	-0.921	0.596	-0.523	0.103	-1.263	2.188
?	9.984	0.136	0.150	17.099	-0.423	3.520	-1.034	12.562	0.449	15.184	-0.554	3.294	0.423	1.289	-0.330	1.556	-0.374	0.810	0.252	4.511	0.921	3.046	0.151	3.198	0.215	2.909	1.236	1.494	0.397	1.232	0.548	1.190	0.452	0.940	1.383	0.215
