type	ts	dur	durz	F0	F0z	F1	F1z	F2	F2z	F3	F3z	dF0	dF0z	dF1	dF1z	dF2	dF2z	dF3	dF3z	dqF0	dqF0z	dqF1	dqF1z	dqF2	dqF2z	dqF3	dqF3z	sdF0	sdF0z	sdF1	sdF1z	sdF2	sdF2z	sdF3	sdF3z	score
?	0.408	0.104	-0.758	17.006	-0.462	6.636	0.018	12.464	0.412	16.090	-0.178	0.777	0.462	0.673	-1.215	1.225	0.087	0.651	-0.600	0.947	-0.627	1.913	-0.296	4.131	1.636	1.086	-0.530	0.294	-0.659	0.703	-0.178	1.305	1.498	0.318	-0.625	1.171
?	0.592	0.296	1.385	21.020	1.587	4.797	-1.202	11.674	-0.210	14.215	-1.770	-3.236	-1.587	1.583	0.160	1.203	0.049	2.050	1.467	2.780	-0.015	2.372	0.037	4.200	1.684	3.447	1.035	1.023	0.008	0.803	0.015	1.367	1.627	1.299	1.097	0.912
?	1.056	0.176	0.046	19.835	0.982	5.709	-0.597	11.321	-0.489	14.134	-1.838	-2.051	-0.982	1.205	-0.411	0.683	-0.824	2.631	2.324	13.092	3.426	2.937	0.448	1.570	-0.148	0.624	-0.836	4.328	3.036	0.988	0.368	0.472	-0.230	0.218	-0.801	2.074
?	1.360	0.072	-1.115	20.687	1.417	4.015	-1.721	10.978	-0.760	14.760	-1.307	-2.903	-1.417	2.553	1.626	1.048	-0.211	1.804	1.102	3.197	0.124	1.097	-0.887	2.669	0.618	3.209	0.878	1.102	0.081	0.375	-0.803	0.874	0.605	1.108	0.762	-1.017
fp	1.560	0.192	0.224	16.251	-0.848	5.193	-0.939	12.192	0.198	15.082	-1.033	1.533	0.848	1.256	-0.334	0.248	-1.556	1.724	0.985	1.774	-0.351	0.925	-1.013	0.846	-0.652	0.873	-0.671	0.634	-0.347	0.268	-1.008	0.261	-0.667	0.249	-0.746	3.663
fp	1.838	0.250	0.869	14.516	-1.733	7.616	0.668	11.603	-0.266	17.636	1.136	3.267	1.733	1.617	0.212	0.508	-1.118	1.908	1.257	1.913	-0.304	4.859	1.842	1.560	-0.154	6.124	2.810	0.603	-0.376	1.554	1.449	0.473	-0.227	2.205	2.689	3.676
fp	2.632	0.112	-0.668	16.402	-0.771	9.279	1.772	12.287	0.273	16.761	0.392	1.382	0.771	2.942	2.214	0.448	-1.220	0.188	-1.283	0.761	-0.688	0.670	-1.198	1.154	-0.438	0.591	-0.858	0.278	-0.673	0.253	-1.037	0.389	-0.401	0.211	-0.813	2.716
fp	2.896	0.216	0.492	18.818	0.463	8.128	1.008	10.949	-0.782	17.133	0.708	-1.035	-0.463	1.663	0.282	1.076	-0.164	0.399	-0.973	3.793	0.323	2.860	0.392	0.917	-0.602	0.975	-0.604	1.312	0.273	0.964	0.321	0.339	-0.505	0.292	-0.671	3.175
fp	3.280	0.120	-0.579	17.476	-0.222	7.960	0.897	11.350	-0.466	17.376	0.915	0.308	0.222	1.539	0.093	0.809	-0.613	0.541	-0.762	2.865	0.013	3.013	0.502	0.704	-0.751	0.978	-0.601	1.138	0.115	0.911	0.220	0.245	-0.700	0.343	-0.581	2.721
?	3.664	0.088	-0.936	18.705	0.406	7.902	0.858	10.772	-0.922	17.336	0.881	-0.922	-0.406	1.364	-0.170	1.291	0.197	0.603	-0.671	1.457	-0.456	0.513	-1.311	0.831	-0.663	1.203	-0.452	0.509	-0.462	0.170	-1.196	0.312	-0.561	0.402	-0.477	1.648
?	3.952	0.096	-0.847	20.686	1.417	6.278	-0.220	14.018	1.638	14.997	-1.106	-2.902	-1.417	0.285	-1.802	2.142	1.628	1.489	0.637	0.358	-0.823	0.594	-1.253	1.345	-0.305	3.696	1.201	0.142	-0.798	0.166	-1.202	0.479	-0.215	1.562	1.560	-0.512
?	4.248	0.264	1.028	17.103	-0.413	5.394	-0.806	13.301	1.073	16.668	0.313	0.680	0.413	1.893	0.629	1.140	-0.056	1.415	0.529	1.030	-0.599	5.037	1.971	0.972	-0.564	4.153	1.504	0.269	-0.682	1.998	2.298	0.305	-0.575	1.565	1.565	2.460
?	4.688	0.144	-0.311	18.296	0.196	8.387	1.180	10.304	-1.291	17.882	1.345	-0.513	-0.196	1.702	0.340	1.716	0.912	1.108	0.075	9.985	2.389	2.028	-0.212	1.176	-0.422	0.570	-0.872	4.194	2.914	0.621	-0.334	0.337	-0.508	0.178	-0.871	2.463
?	4.928	0.088	-0.936	19.397	0.759	6.307	-0.200	13.043	0.869	17.073	0.658	-1.614	-0.759	0.601	-1.324	0.895	-0.469	0.363	-1.026	1.412	-0.471	1.487	-0.605	1.038	-0.518	0.657	-0.814	0.557	-0.418	0.466	-0.630	0.323	-0.539	0.201	-0.831	1.808
