type	ts	dur	durz	F0	F0z	F1	F1z	F2	F2z	F3	F3z	dF0	dF0z	dF1	dF1z	dF2	dF2z	dF3	dF3z	dqF0	dqF0z	dqF1	dqF1z	dqF2	dqF2z	dqF3	dqF3z	sdF0	sdF0z	sdF1	sdF1z	sdF2	sdF2z	sdF3	sdF3z	score
fp	5.288	0.192	0.224	15.279	-1.344	7.005	0.263	10.158	-1.407	16.901	0.511	2.505	1.344	0.546	-1.408	1.836	1.114	0.189	-1.283	1.290	-0.512	1.284	-0.752	0.419	-0.950	0.524	-0.902	0.442	-0.523	0.412	-0.733	0.142	-0.913	0.156	-0.911	3.821
?	6.256	0.184	0.137	17.484	-0.218	5.539	-0.709	12.262	0.253	14.603	-1.440	0.299	0.218	1.488	0.017	0.437	-1.237	1.879	1.213	1.638	-0.396	3.154	0.604	1.702	-0.056	3.623	1.152	0.600	-0.379	1.411	1.176	0.501	-0.170	1.059	0.676	2.143
?	6.448	0.360	2.099	19.137	0.626	5.965	-0.427	13.172	0.971	15.162	-0.966	-1.354	-0.626	1.464	-0.020	1.445	0.456	1.374	0.467	1.598	-0.409	4.479	1.566	3.823	1.422	2.859	0.646	0.554	-0.421	1.689	1.707	1.160	1.196	1.047	0.655	2.012
?	6.836	0.108	-0.716	18.466	0.283	5.138	-0.976	11.234	-0.558	15.484	-0.692	-0.682	-0.283	1.428	-0.074	0.736	-0.736	1.151	0.138	1.537	-0.430	1.884	-0.316	0.506	-0.889	0.995	-0.590	0.606	-0.373	0.557	-0.456	0.156	-0.883	0.307	-0.644	1.955
?	7.120	0.120	-0.579	21.040	1.598	5.078	-1.016	9.483	-1.938	16.217	-0.070	-3.257	-1.598	1.415	-0.094	2.461	2.165	0.551	-0.747	2.109	-0.239	2.381	0.044	4.334	1.778	0.971	-0.606	0.828	-0.169	0.702	-0.179	1.528	1.959	0.262	-0.725	-0.269
fp	7.432	0.144	-0.311	15.078	-1.447	7.372	0.506	10.690	-0.987	17.360	0.901	2.705	1.447	0.912	-0.853	1.364	0.320	0.609	-0.663	0.338	-0.830	2.310	-0.007	0.308	-1.027	0.919	-0.640	0.134	-0.805	0.755	-0.078	0.096	-1.008	0.295	-0.666	3.517
?	8.088	0.096	-0.847	17.105	-0.412	5.017	-1.056	13.404	1.154	16.877	0.491	0.679	0.412	1.469	-0.012	1.398	0.377	0.376	-1.007	3.824	0.333	1.189	-0.821	0.705	-0.750	1.439	-0.296	1.462	0.411	0.361	-0.831	0.236	-0.718	0.473	-0.353	1.290
?	8.288	0.128	-0.490	16.337	-0.804	8.342	1.150	13.145	0.949	16.892	0.503	1.447	0.804	1.722	0.371	1.336	0.274	0.595	-0.682	2.070	-0.252	3.934	1.171	1.515	-0.186	1.833	-0.034	0.640	-0.342	1.324	1.010	0.528	-0.113	0.639	-0.062	1.771
fp	8.672	0.160	-0.133	18.515	0.308	9.444	1.881	12.506	0.445	17.583	1.090	-0.732	-0.308	2.947	2.222	0.493	-1.143	0.904	-0.227	2.024	-0.267	0.832	-1.080	1.193	-0.410	0.748	-0.754	0.696	-0.291	0.251	-1.041	0.353	-0.475	0.520	-0.271	2.775
?	8.960	0.416	2.724	15.232	-1.368	6.106	-0.333	14.275	1.841	16.955	0.557	2.552	1.368	1.182	-0.446	2.225	1.768	0.875	-0.270	6.006	1.061	3.943	1.177	5.155	2.349	3.143	0.834	1.974	0.880	1.394	1.143	1.800	2.524	1.268	1.044	2.542
